ticker,date,time,headline,neg,neu,pos,compound,sentiment
tsla,2018-11-26,01:25PM,"Tesla was weeks from dying earlier this year, Elon Musk says",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,01:08PM,Elon Musk Says Tesla Was 'Close to Death' During Model 3 Ramp-Up,0.281,0.719,0.0,-0.5994,neg
tsla,2018-11-26,01:07PM,"Tesla Almost Died Earlier This Year, Says Elon Musk",0.292,0.708,0.0,-0.5118,neg
tsla,2018-11-26,01:00PM,Elon Musk Said Tesla Almost Died  and the Stock Market Shrugged,0.249,0.751,0.0,-0.5118,neg
tsla,2018-11-26,12:36PM,Elon Musk Admits Tesla Was Near Death This Year,0.298,0.534,0.168,-0.4019,neg
tsla,2018-11-26,11:54AM,Whatever Doesnt Kill Tesla Makes It Stranger,0.0,0.616,0.384,0.5773,pos
tsla,2018-11-26,10:21AM,Elon Musk: Tesla was weeks away from failure,0.32,0.68,0.0,-0.5106,neg
tsla,2018-11-26,09:30AM,"Company News For Nov 26, 2018",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:30AM,Musk Admits Tesla Was Close To Collapsing Earlier This Year Amid Model 3 Ramp,0.143,0.714,0.143,0.0,neu
tsla,2018-11-26,08:20AM,"What Tesla did for luxury cars, Rivian wants to do for pickups",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:20AM,General Motors to Close Operations at Canada's Oshawa Hub,0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:11AM,"Stocks making the biggest move premarket: AMZN, WMT, M, TGT, GM, CPB & more",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:05AM,"Startups, old-line automakers aim to take bite out of Tesla",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:01AM,"What Tesla did for luxury cars, Rivian wants to do for pickups",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,08:01AM,"Startups, old-line automakers aim to take bite out of Tesla",0.0,1.0,0.0,0.0,neu
tsla,2018-11-26,07:54AM,Elon Musk admits Tesla was weeks from dying earlier in the year,0.0,0.833,0.167,0.296,pos
tsla,2018-11-26,06:33AM,Musk: Tesla was near death during Model 3 ramp-up,0.358,0.642,0.0,-0.5994,neg
tsla,2018-11-26,06:30AM,GM and Tesla lobby to raise electric vehicles tax credit ...,0.0,0.709,0.291,0.4019,pos
tsla,2018-11-25,08:53PM,[$$] Instant Gratification Is a Big Attraction,0.0,0.417,0.583,0.6808,pos
tsla,2018-11-25,07:05PM,Elon Musk: Tesla had 'single-digit weeks' as it teetered on brink of collapse,0.211,0.789,0.0,-0.4939,neg
tsla,2018-11-25,08:41AM,"Porsche Taycan to Drive Farther, Charge Faster",0.0,1.0,0.0,0.0,neu
tsla,2018-11-25,08:06AM,[$$] Tesla Is the Hot Spot for Young Job Seekers,0.0,1.0,0.0,0.0,neu
tsla,2018-11-23,09:09PM,Why Tesla Is Up 12% So Far in 2018,0.0,1.0,0.0,0.0,neu
tsla,2018-11-23,09:44AM,Tesla will cut prices in China in response to import tariffs; Reuters,0.16,0.84,0.0,-0.2732,neg
tsla,2018-11-23,09:37AM,"Oil Prices Pound Energy Stocks; Dow Jones Slips As Chips, Airlines Rally",0.0,0.84,0.16,0.2732,pos
tsla,2018-11-23,12:00AM,[$$] Robo-taxis or high-tech tunnels? The race for traffic utopia,0.0,1.0,0.0,0.0,neu
tsla,2018-11-22,08:23AM,Tesla Cuts China Car Prices: Can Others Survive Tariff Heat?,0.196,0.804,0.0,-0.296,neg
tsla,2018-11-22,03:55AM,[$$] Tesla cuts prices in China as trade war bites,0.433,0.567,0.0,-0.7269,neg
